nome_da_música,nome_do_artista,rank_de_todos_os_tempos,pontuação_da_faixa,reproduções_spotify,contagem_de_playlists_spotify,alcance_das_playlists_spotify,popularidade_no_spotify,contagem_playlists_apple_music,contagem_playlists_deezer,alcance_playlists_deezer
Efecto,Bad Bunny,292,90.1,"1,293,773,697","115,332","51,081,689",77,50,16,"2,258,927"
Slow It Down,Benson Boone,294,89.4,"202,667,139","11,945","116,623,933",85,56,37,"6,074,638"
Yonaguni,Bad Bunny,295,88.6,"1,398,634,184","177,082","44,848,091",71,145,40,"381,403"
Heathens,Twenty One Pilots,296,88.6,"1,777,196,966","241,108","65,091,468",78,125,108,"534,238"
Whoopty,CJ,297,88.6,"775,664,145","213,464","28,998,615",61,158,31,"74,337"
Super Shy,NewJeans,298,88.4,"547,471,596","48,103","22,977,059",77,56,22,"671,053"
Happier,Marshmello,299,87.9,"2,143,821,605","220,298","53,040,597",16,209,444,"639,996"
HARLEY QUINN,Fuerza Regida,301,87.7,"462,284,590","31,617","36,745,154",84,41,46,"7,896,597"
Baby Don't Hurt Me,David Guetta,300,87.7,"509,231,024","69,486","142,546,135",79,145,121,"3,802,321"
Butter,BTS,302,87.5,"1,257,974,135","90,160","40,533,320",70,221,43,"1,426,798"
Calma - Remix,Pedro Capï¿,303,87.2,"1,153,753,974","118,846","37,335,160",67,152,77,"859,903"
"\"CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's \"\"Trolls\"\")\"",Justin Timberlake,305,87.1,"1,733,302,434","191,065","88,781,556",72,459,482,"2,062,925"
Say So,Doja Cat,306,87,"1,199,270,601","161,574","48,493,190",69,295,180,"1,309,139"
Ransom,Lil Tecca,307,86.8,"1,355,971,796","198,992","52,412,236",77,99,32,"958,518"
Romantic Homicide,d4vd,308,86.8,"1,136,504,636","152,157","60,605,828",81,65,25,"426,502"
Pink Skies,Zach Bryan,309,86.7,"60,240,739","4,611","98,570,633",84,82,26,"5,164,376"
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,310,86.6,"1,528,107,667","170,648","55,710,071",73,188,151,"643,408"
Rich Men North of Richmond,Oliver Anthony Music,312,86.5,"214,598,468","66,613","6,363,839",74,21,2,"164,805"
BESO,ROSALï¿½,313,86.3,"647,201,484","81,393","46,208,549",74,117,80,"4,935,799"
MTG QUEM Nï¿½ï¿½O QUER SO,DJ TOPO,315,86.1,"51,198,446","3,022","40,425,173",80,8,29,"9,552,072"
Que Vuelvas,Carin Leon,314,86.1,"684,853,927","42,893","25,716,699",73,45,20,"2,332,617"
Just Wanna Rock,Lil Uzi Vert,318,85.8,"665,519,026","152,193","67,322,941",68,73,20,"707,505"
